Manufacturer (short name):text,Manufacturer:text,Year:year,registration:number,Average mass (Kg):number,Average CO2 emissions (g/Km):number
OPEL,ADAM OPEL AG,2010,935499,1382.56,126.92
AUDI AG,AUDI AG,2010,589855,1598.8,133.88
DACIA,AUTOMOBILE DACIA SA,2010,251938,1237.01,133.87
AUTOMOBILES CITROEN,AUTOMOBILES CITROEN,2010,815936,1314.26,118.76
AUTOMOBILES PEUGEOT,AUTOMOBILES PEUGEOT,2010,974248,1321.76,119.21
BMW AG,BAYERISCHE MOTOREN WERKE AG,2010,640021,1534.13,129.25
DAIMLER AG,DAIMLER AG,2010,646067,1532.24,137.76
FIAT GROUP,FIAT GROUP AUTOMOBILES SPA,2010,975822,1136.56,115.29
FORD WERKE GMBH,FORD-WERKE GMBH,2010,1076887,1289.42,121.13
GM KOREA,GM KOREA COMPANY,2010,146117,1253.96,125.76
HYUNDAI,HYUNDAI MOTOR COMPANY,2010,325603,1300.33,120.86
KIA,KIA MOTORS CORPORATION,2010,253706,1399.3,126.25
MAZDA,MAZDA MOTOR CORPORATION,2010,170007,1339.67,133.73
NISSAN,NISSAN INTERNATIONAL SA,2010,389818,1347.39,132.13
RENAULT,RENAULT SAS,2010,1125141,1307.33,120.7
SEAT,SEAT SA,2010,288629,1278.38,120.16
SKODA,SKODA AUTO AS,2010,420718,1311.28,127.87
TOYOTA,TOYOTA MOTOR EUROPE NV SA,2010,564633,1335.87,112.24
VOLKSWAGEN,VOLKSWAGEN AG,2010,1469419,1387.65,125.99
VOLVO,VOLVO CAR CORPORATION,2010,204926,1662.43,134.49
HONDA UK,HONDA OF THE UK MANUFACTURING LTD,2010,47840,1446.21,145.932
MAGYAR SUZUKI,MAGYAR SUZUKI CORPORATION LTD,2010,87204,1177.91,130.004
OPEL,ADAM OPEL AG,2011,952340,1429.97,122.86
AUDI AG,AUDI AG,2011,617382,1578,127
DACIA,AUTOMOBILE DACIA SA,2011,235104,1299.64,132.37
AUTOMOBILES CITROEN,AUTOMOBILES CITROEN,2011,742086,1320.01,112.74
AUTOMOBILES PEUGEOT,AUTOMOBILES PEUGEOT,2011,871476,1358.19,115.97
BMW AG,BAYERISCHE MOTOREN WERKE AG,2011,723340,1569.17,129.24
DAIMLER AG,DAIMLER AG,2011,626361,1569.61,132.13
FIAT GROUP,FIAT GROUP AUTOMOBILES SPA,2011,836642,1140.19,109.89
FORD WERKE GMBH,FORD-WERKE GMBH,2011,1004863,1324.19,119.02
GM KOREA,GM KOREA COMPANY,2011,156787,1320.43,125.95
HYUNDAI,HYUNDAI MOTOR COMPANY,2011,364221,1297.12,118.97
KIA,KIA MOTORS CORPORATION,2011,279483,1353.33,122.05
MAZDA,MAZDA MOTOR CORPORATION,2011,125369,1386.11,131.62
NISSAN,NISSAN INTERNATIONAL SA,2011,443514,1375.34,127.35
RENAULT,RENAULT SAS,2011,1006021,1293.02,114.82
SEAT,SEAT SA,2011,293265,1288.76,114.13
SKODA,SKODA AUTO AS,2011,448821,1316.07,122.32
TOYOTA,TOYOTA MOTOR EUROPE NV SA,2011,523143,1331.32,109.29
VOLKSWAGEN,VOLKSWAGEN AG,2011,1574303,1415.14,121.74
VOLVO,VOLVO CAR CORPORATION,2011,225600,1700.69,132.25
HONDA UK,HONDA OF THE UK MANUFACTURING LTD,2011,37635,1450.15,146.211
MAGYAR SUZUKI,MAGYAR SUZUKI CORPORATION LTD,2011,96175,1162.71,118.469
OPEL,ADAM OPEL AG,2012,814342,1455.62,119.71
AUDI AG,AUDI AG,2012,657097,1579.29,122.41
DACIA,AUTOMOBILE DACIA SA,2012,232256,1299.01,125.13
AUTOMOBILES CITROEN,AUTOMOBILES CITROEN,2012,656601,1365.51,108.72
AUTOMOBILES PEUGEOT,AUTOMOBILES PEUGEOT,2012,773931,1381.03,107.65
BMW AG,BAYERISCHE MOTOREN WERKE AG,2012,762099,1562.28,123.64
DAIMLER AG,DAIMLER AG,2012,631783,1581.53,123.87
FIAT GROUP,FIAT GROUP AUTOMOBILES SPA,2012,686867,1128.8,109.84
FORD WERKE GMBH,FORD-WERKE GMBH,2012,917753,1324.57,116.48
GM KOREA,GM KOREA COMPANY,2012,161165,1403.59,124.25
HYUNDAI,HYUNDAI MOTOR COMPANY,2012,417010,1334.05,118.81
KIA,KIA MOTORS CORPORATION,2012,329478,1310.18,114.49
MAZDA,MAZDA MOTOR CORPORATION,2012,113575,1360.93,128.79
NISSAN,NISSAN INTERNATIONAL SA,2012,423853,1397.75,122.25
RENAULT,RENAULT SAS,2012,800688,1300.76,105.4
SEAT,SEAT SA,2012,252174,1309.07,114.76
SKODA,SKODA AUTO AS,2012,460608,1298.81,120.03
TOYOTA,TOYOTA MOTOR EUROPE NV SA,2012,515587,1326.3,103.61
VOLKSWAGEN,VOLKSWAGEN AG,2012,1543537,1398.32,119.34
VOLVO,VOLVO CAR CORPORATION,2012,204640,1694.44,121.94
HONDA UK,HONDA OF THE UK MANUFACTURING LTD,2012,40779,1510.38,139.093
MAGYAR SUZUKI,MAGYAR SUZUKI CORPORATION LTD,2012,84045,1160.12,118.669
OPEL,ADAM OPEL AG,2013,804117,1443.09,122.12
AUDI AG,AUDI AG,2013,650995,1554.03,121.88
DACIA,AUTOMOBILE DACIA SA,2013,289150,1200.08,119.37
AUTOMOBILES CITROEN,AUTOMOBILES CITROEN,2013,587544,1356.14,106.86
AUTOMOBILES PEUGEOT,AUTOMOBILES PEUGEOT,2013,723688,1348.68,105.65
BMW AG,BAYERISCHE MOTOREN WERKE AG,2013,758186,1560,123.54
DAIMLER AG,DAIMLER AG,2013,661356,1577.38,119.83
FIAT GROUP,FIAT GROUP AUTOMOBILES SPA,2013,646554,1145.15,110.62
FORD WERKE GMBH,FORD-WERKE GMBH,2013,891562,1341.8,111.51
GM KOREA,GM KOREA COMPANY,2013,135379,1405.47,124.19
HYUNDAI CZECH,HYUNDAI MOTOR MANUFACTURING CZECH SRO,2013,220348,1426.46,130.55
JAGUAR LAND ROVER LIMITED,JAGUAR LAND ROVER LIMITED,2013,131530,2049.3,164.62
KIA,KIA MOTORS CORPORATION,2013,285340,1320.21,117.62
MAZDA,MAZDA MOTOR CORPORATION,2013,133183,1421.75,126.28
NISSAN,NISSAN INTERNATIONAL SA,2013,411702,1399.14,115.71
RENAULT,RENAULT SAS,2013,793063,1261.83,96.38
SEAT,SEAT SA,2013,280310,1231.39,111.32
SKODA,SKODA AUTO AS,2013,480748,1267.54,115.92
TOYOTA,TOYOTA MOTOR EUROPE NV SA,2013,513116,1314.81,102.19
VOLKSWAGEN,VOLKSWAGEN AG,2013,1486282,1381.67,115.74
VOLVO,VOLVO CAR CORPORATION,2013,203165,1700.48,107.01
HONDA UK,HONDA OF THE UK MANUFACTURING LTD,2013,53052,1544.57,145.122
HYUNDAI ASSAN,HYUNDAI ASSAN OTOMOTIV SANAYI VE,2013,62241,1108.38,112.343
KIA SLOVAKIA,KIA MOTORS SLOVAKIA SRO,2013,53232,1424.13,140.012
MAGYAR SUZUKI,MAGYAR SUZUKI CORPORATION LTD,2013,98295,1151,125.554
OPEL,ADAM OPEL AG,2014,860970,1405.22,122.425
AUDI AG,AUDI AG,2014,683782,1557.98,121.362
DACIA,AUTOMOBILE DACIA SA,2014,372685,1206.35,119.789
AUTOMOBILES CITROEN,AUTOMOBILES CITROEN,2014,594263,1268.32,103.142
AUTOMOBILES PEUGEOT,AUTOMOBILES PEUGEOT,2014,766531,1270.2,102.376
BMW AG,BAYERISCHE MOTOREN WERKE AG,2014,791579,1578.69,120.841
DAIMLER AG,DAIMLER AG,2014,685986,1579,118.152
FIAT GROUP,FIAT GROUP AUTOMOBILES SPA,2014,666763,1142.68,110.682
FORD WERKE GMBH,FORD-WERKE GMBH,2014,939565,1315.84,113.657
HONDA UK,HONDA OF THE UK MANUFACTURING LTD,2014,111222,1436.63,124.614
HYUNDAI ASSAN,HYUNDAI ASSAN OTOMOTIV SANAYI VE,2014,120988,1069.51,110.465
HYUNDAI CZECH,HYUNDAI MOTOR MANUFACTURING CZECH SRO,2014,200750,1440.45,133.734
JAGUAR LAND ROVER LIMITED,JAGUAR LAND ROVER LIMITED,2014,140264,2043.66,165.435
KIA,KIA MOTORS CORPORATION,2014,216352,1293.3,115.439
KIA SLOVAKIA,KIA MOTORS SLOVAKIA SRO,2014,130606,1448.98,133.612
MAGYAR SUZUKI,MAGYAR SUZUKI CORPORATION LTD,2014,108700,1147.29,117.932
MAZDA,MAZDA MOTOR CORPORATION,2014,159721,1407.43,121.968
NISSAN,NISSAN INTERNATIONAL SA,2014,469215,1350.8,103.312
RENAULT,RENAULT SAS,2014,871328,1250.06,98.779
SEAT,SEAT SA,2014,316546,1241.57,110.877
SKODA,SKODA AUTO AS,2014,546145,1275.52,114.628
TOYOTA,TOYOTA MOTOR EUROPE NV SA,2014,538723,1309.55,102.286
VOLKSWAGEN,VOLKSWAGEN AG,2014,1549656,1383.64,113.03
VOLVO,VOLVO CAR CORPORATION,2014,234160,1675.85,112.433
AUTOMOBILES PEUGEOT,AUTOMOBILES PEUGEOT,2015,857467,1260.49,103.659
RENAULT,RENAULT SAS,2015,984981,1263.09,105.304
AUTOMOBILES CITROEN,AUTOMOBILES CITROEN,2015,618627,1243.79,105.713
TOYOTA,TOYOTA MOTOR EUROPE NV SA,2015,585335,1314.81,108.264
HYUNDAI ASSAN,HYUNDAI ASSAN OTOMOTIV SANAYI VE TICARET AS,2015,155201,1078.87,113.524
NISSAN,NISSAN INTERNATIONAL SA,2015,548778,1366.1,113.778
SKODA,SKODA AUTO AS,2015,585559,1274.68,115.511
FIAT GROUP,FCA ITALY SPA,2015,703654,1158.63,116.3
SEAT,SEAT SA,2015,332988,1247.79,116.577
FORD WERKE GMBH,FORD-WERKE GMBH,2015,993383,1332.69,117.701
VOLKSWAGEN,VOLKSWAGEN AG,2015,1655413,1390.9,118.259
KIA,KIA MOTORS CORPORATION,2015,228179,1309.37,120.295
MAGYAR SUZUKI,MAGYAR SUZUKI CORPORATION LTD,2015,125532,1160.99,120.485
VOLVO,VOLVO CAR CORPORATION,2015,266351,1703.46,120.67
DACIA,AUTOMOBILE DACIA SA,2015,378487,1204.33,122.694
DAIMLER AG,DAIMLER AG,2015,800325,1560.62,124.079
BMW AG,BAYERISCHE MOTOREN WERKE AG,2015,887020,1568.67,124.883
AUDI AG,AUDI AG,2015,717955,1589.53,126.245
OPEL,ADAM OPEL AG,2015,915125,1387.2,126.775
MAZDA,MAZDA MOTOR CORPORATION,2015,194754,1362.1,126.779
HONDA UK,HONDA OF THE UK MANUFACTURING LTD,2015,104595,1452.94,133.387
HYUNDAI CZECH,HYUNDAI MOTOR MANUFACTURING CZECH SRO,2015,236932,1453.8,134.525
KIA SLOVAKIA,KIA MOTORS SLOVAKIA SRO,2015,151884,1438.48,137.69
JAGUAR LAND ROVER LIMITED,JAGUAR LAND ROVER LIMITED,2015,172792,1996.54,164.029
AUTOMOBILES PEUGEOT,AUTOMOBILES PEUGEOT,2016,889060,1246.84,101.748
AUTOMOBILES CITROEN,AUTOMOBILES CITROEN,2016,614699,1235.06,103.312
RENAULT,RENAULT SAS,2016,1128509,1288.38,105.185
TOYOTA,TOYOTA MOTOR EUROPE NV SA,2016,616226,1323.15,105.447
SKODA,SKODA AUTO AS,2016,627539,1281.2,111.894
HYUNDAI ASSAN,HYUNDAI ASSAN OTOMOTIV SANAYI VE,2016,164974,1080.83,112.035
SEAT,SEAT SA,2016,340156,1259.7,115.849
FIAT GROUP,FIAT GROUP AUTOMOBILES SPA,2016,768863,1161.4,115.961
NISSAN,NISSAN INTERNATIONAL SA,2016,550095,1379.31,116.666
DACIA,AUTOMOBILE DACIA SA,2016,414892,1199.9,117.432
FORD WERKE GMBH,FORD-WERKE GMBH,2016,1010775,1363.15,118.435
VOLKSWAGEN,VOLKSWAGEN AG,2016,1651375,1397.13,118.551
KIA,KIA MOTORS CORPORATION,2016,250717,1341.65,119.687
MAGYAR SUZUKI,MAGYAR SUZUKI CORPORATION LTD,2016,137789,1186.03,120.61
VOLVO,VOLVO CAR CORPORATION,2016,270867,1734.2,121.166
BMW AG,BAYERISCHE MOTOREN WERKE AG,2016,973617,1569.72,121.983
OPEL,ADAM OPEL AG,2016,968429,1341.36,122.854
AUDI AG,AUDI AG,2016,784147,1583.27,124.968
DAIMLER AG,DAIMLER AG,2016,910390,1581.46,125.012
MAZDA,MAZDA MOTOR CORPORATION,2016,219859,1323.59,126.74
HYUNDAI CZECH,HYUNDAI MOTOR MANUFACTURING CZECH SRO,2016,245617,1479.27,130.815
KIA SLOVAKIA,KIA MOTORS SLOVAKIA SRO,2016,171007,1453.42,132.348
CHRYSLER,FCA US LLC,2016,104390,1664.19,146.673
JAGUAR LAND ROVER LIMITED,JAGUAR LAND ROVER LIMITED,2016,225227,1953.39,149.841
